track_id,track_name,album_id,album_name,artist_id,artist_name,duration_ms,preview_url
0v2Mk2JNNyJDYYfekJMuEK,Soldier Story (Intro),2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,109373,
4wPuIAVj35hwmdDxdOkCrn,Doggystyle,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,"Snoop Dogg, George Clinton, Jewell",334546,
4dtqXOpFUmiIbzRhsORamO,Fallin Asleep On Death Row,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,123746,
09bRjL267b5H8TjahFxx3C,Eat A Dick,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,174146,
2Y0y4nYTgVcfN4qEqcULfw,Hoez,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,"Snoop Dogg, Tha Dogg Pound",293266,
3Le9T1KrOx7CKFysk4xkvi,Keep It Real Dogg,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,335720,
22Cz5GnNyU3yYpTPImPpta,O.G.,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,"Snoop Dogg, Nate Dogg",272946,
3jKGp6b6BKkXdZGr9Rnrs0,One Life To Live,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,"Snoop Dogg, Technic, The Lady Of Rage",317386,
2Wqv4Peov0GGOMVLR1qja3,The Genie,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,"Snoop Dogg, Bad Azz, Bo-Rock",288186,
50mrQawSkxxwBJzauvGcKZ,Funk Wit Ya Brain,2raYIHvbOLTgSZAQtZfyak,Unknown,7hJcb9fa4alzcOq3EaNPoG,"Snoop Dogg, Mahallia Franklin, K.V",152693,
