word,frequency
fire,24
black-on-black,24
touch,23
enough,23
puff,23
body,23
"cars,",23
"black,",23
guns,23
plus,23
wanted,23
doing,23
six,23
4,23
light,23
hand,23
help,23
sold,23
talking,23
break,23
turned,23
ten,23
cool,23
keys,23
rich,23
straight,22
hoes,22
"three,",22
"hov,",22
alright,22
probably,22
street,22
speak,22
son,22
you?,22
who's,22
"here,",22
cause,22
somethin',22
respect,22
bow,22
"ay,",22
ask,22
it?,22
"god,",22
most,22
z,22
brother,22
open,22
yeezy,22
shall,22
gets,22
"got,",21
has,21
four,21
life's,21
"izz-o,",21
beatz],21
dead,21
wouldn't,21
mean,21
trying,21
"year,",21
together,21
scared,21
second,21
hundred,21
born,21
"west,",21
brooklyn,21
set,21
living,21
may,21
reach,21
against,21
nice,21
coke,21
blue,21
"sky,",21
state,21
its,21
side,21
"sayin',",21
died,21
tried,21
went,21
low,20
izz-a,20
roses,20
boyz,20
far?,20
bag,20
"right,",20
matter,20
ass,20
hou-),20
few,20
promise,20
sisters,20
dream,20
waiting,20
drinks,20
being,20
wrong,20
days,20
grind,20
i’m,20
crazy,20
easy,20
ladies,20
stand,19
great,19
beats,19
fallin',19
fine,19
line,19
"for,",19
shots,19
lookin',19
paint,19
full,19
ay,19
goin',19
seems,19
dealer,19
fame,19
repeat,19
soon,19
ooh,19
hova,19
clothes,19
push,19
step,19
rest,19
cold,19
times,19
"uh-huh,",19
"never,",18
floor,18
cops,18
saying,18
dreams,18
outta,18
"die,",18
green,18
like[chorus],18
corner,18
gucci,18
forget,18
champagne,18
connect,18
"side,",18
diamond,18
"her,",18
bloody,18
"long,",18
red,18
club,18
"bottom,",18
saw,18
menace,18
slow,18
shoot,18
hey!,18
free,18
remember,18
catch,17
"rock,",17
either,17
broads,17
whatever,17
miss,17
sick,17
shoes,17
blow,17
started,17
dick,17
called,17
such,17
front,17
cop,17
"i,",17
blacks,17
"""you",17
dance,17
dmx,17
he'll,17
fix,17
we're,17
pay,17
(a,17
chick,17
"brooklyn,",17
date,17
afraid,17
different,17
(come,17
jon,17
star,17
goes,17
treat,17
hurt,17
story,17
"'em,",17
pardon,17
because,17
lights,17
"him,",17
at?,17
death,17
"ooh-ooh-ooh,",16
ooh-ooh-ooh-ooh),16
rza,16
ooh-ooh-ooh),16
news,16
king?,16
huh,16
very,16
motherfuckin',16
(and,16
point,16
"this,",16
4:,16
fell,16
sayin',16
stores,16
"is,",16
telling,16
arm,16
"motherfucker,",16
feelin',16
"ladies,",16
word,16
taken,16
heavy,16
land,16
once,16
lap,16
"""no",16
movie,16
"feeling,",16
racks,16
heaven,16
were,16
'bachs,16
hook,16
5,16
"paper,",16
"more,",16
dream?,16
teach,16
"city,",16
faith,16
deep,16
sure,16
hair,16
battle,16
"fallin',",16
cappella),16
j,15
food,15
smile,15
eight,15
weed,15
(show,15
room,15
grab,15
dude,15
"pain,",15
grew,15
heads,15
prime,15
"it""",15
(the,15
hudson],15
chris,15
ignorant,15
millions,15
anything,15
dark,15
"huh,",15
showin',15
james,15
do?,15
(i'm,15
verse,15
(ha-ya),15
--,15
"(jigga,",15
"jigga,",15
year,15
"yes,",15
"homie,",15
jackson,15
tom,15
case,15
soul,15
moon,15
bet,15
"flow,",15
else,15
