track_id,track_name,album_name,release_date,popularity,artist_ids
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),Planet Pit (Deluxe Version),2011-06-17,84,"['0TnOYISbd1XYRBk9myaseg', '4D75GcNG95ebPtNvoNVXhz', '21E3waRsmPlU7jZsS13rcj', '1ruutHJcECI7cos2n5TqpO']"
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Globalization,2014-11-21,82,"['0TnOYISbd1XYRBk9myaseg', '21E3waRsmPlU7jZsS13rcj']"
34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,Year Of The Gentleman (Bonus Track Edition),2008-01-01,77,['21E3waRsmPlU7jZsS13rcj']
6brl7bwOHmGFkNw3MBqssT,So Sick,In My Own Words,2006-01-01,78,['21E3waRsmPlU7jZsS13rcj']
6CFPFnS9EcLs2I0nWqtWci,Because Of You,Because Of You,2007-01-01,75,['21E3waRsmPlU7jZsS13rcj']
6Hn9Uc1mMNfqChXU3txNke,Mad,Year Of The Gentleman (Bonus Track Edition),2008-01-01,70,['21E3waRsmPlU7jZsS13rcj']
0GX5oOKtU0nnx5OkhenW2i,Closer,Year Of The Gentleman,2008-01-01,68,['21E3waRsmPlU7jZsS13rcj']
2te3FQWKlJe5NIt7MtQxkw,She Knows,Non-Fiction (Deluxe),2015-01-28,29,"['21E3waRsmPlU7jZsS13rcj', '5gCRApTajqwbnHHPbr2Fpi']"
10aWGOqSDBqvNzJ9NeKDbK,Sexy Love,In My Own Words,2006-01-01,70,['21E3waRsmPlU7jZsS13rcj']
0bgMyJHuzm1aHy6JQG4BQ6,Let Me Love You (Until You Learn To Love Yourself),R.E.D.,2012-01-01,36,"['21E3waRsmPlU7jZsS13rcj', '0b2fntUmu7kE2EYjX31tZI']"
4TFNKnMWjcMWzpkSwQrrcu,Le Pido a DIOS,SIXDO,2022-12-02,69,"['2LRoIwlKmHjgvigdNGBHNo', '6GEykX11lQqp92UVOQQCC7']"
3TPvrMAd1hbPRXuHCRX0Pl,AEAO,A Giant Step,2014-07-16,63,"['4nvFFLtv7ZqoTr83387uK4', '6GEykX11lQqp92UVOQQCC7']"
