word,frequency
"android,",1
spendin',1
vise,1
money,1
foreign,1
automatique,1
this,1
"crâne,",1
pression,1
"russie,",1
trips,1
l'aéronef,1
toute,1
sec,1
hits,1
pulvérisé,1
"but,",1
"lieux,",1
"l’ascenseur,",1
trap,1
"wrist,",1
droppin',1
répéter,1
donné,1
leurs,1
vienne,1
couplets,1
"éclatés,",1
attendaient,1
"baise,",1
j'adore,1
têtes,1
s'ils,1
dîner,1
débattent,1
belles,1
femmes,1
débattre,1
savoir,1
g.o.a.t,1
"allez-y,",1
dites-le,1
"bordel,",1
cale-porte,1
souvent,1
studio,1
chute,1
"ligue,",1
"deux,",1
"huh-huh,",1
numéro,1
l'ai,1
"drizzy,",1
donneront-ils,1
"mеc,",1
"là,",1
presquе,1
[refrain,1
mc,1
lancé,1
three,1
big,1
k-dot,1
fleurs,1
hardcore,1
1,1
"différence,",1
jouent,1
"grossit,",1
grammy,1
"like,",1
douloureux,1
fall,1
profond,1
l'album,1
tweets,1
clavier,1
t'étais,1
connaissent,1
dents,1
laisse,1
up?,1
chercher,1
bouger,1
tapé,1
mystique,1
yb,1
"parler,",1
croire,1
insta,1
sache,1
m'assurerais,1
"boy,",1
mots,1
ironique,1
janvier,1
"salopes,",1
est-ce,1
assez,1
applaudissez,1
comporte,1
j'utilise,1
mal,1
jam,1
jimmy,1
"novembre,",1
doivent,1
2,1
"off,",1
bien,1
cole],1
sûr,1
dalle,1
clasher,1
dissèquent,1
boycotter,1
"trois,",1
place,1
j'achète,1
note,1
éloigné,1
whoppin',1
"niggas,",1
grabbin',1
girl,1
leavin',1
s'est,1
déteste,1
réveil,1
broke,1
"one,",1
assister,1
deleted,1
post,1
said,1
"mascottes,",1
putains,1
"vegan,",1
eatin',1
goat,1
gulfstream,1
"mesures,",1
discutent,1
non,1
«,1
"""anyone",1
parlent,1
putain,1
"home?,""",1
knockin',1
clumsy,1
as,1
"fuck,",1
lenny,1
number,1
kravitz,1
"show,",1
rockin',1
tennis,1
dirait,1
"indoors,",1
squashin',1
combo,1
prendre,1
"take,",1
(broad...),1
recruté,1
faux,1
funérailles,1
disent,1
"plus,",1
vendu,1
"virer,",1
connecte,1
feriez,1
mieux,1
appellent,1
travailler,1
"manger,",1
bureaux,1
rêves,1
droits,1
d'auteur,1
"vente,",1
l'avaient,1
"verrouillé,",1
connaissais,1
code,1
transforme,1
"fps,",1
l'impression,1
boulot,1
"spider-man,",1
meme,1
erreur,1
riches,1
whatever,1
will,1
"always,",1
"vous,",1
watchin',1
grosse,1
"rappeurs,",1
après,1
streament,1
chier,1
"(pew,",1
poser,1
ayez,1
pew-pew),1
informatique,1
"numéro,",1
gang,1
'em,1
(tout,1
n'en,1
dois,1
berceau,1
quartier,1
qu'ashton,1
kutcher,1
minable,1
aurait,1
dû,1
pendant,1
ait,1
d'autre,1
filles,1
sachent,1
"prie,",1
dieu,1
signe,1
payé,1
mensualité,1
voiture,1
tourne-toi,1
vers,1
voisin,1
dis,1
"""voisin""",1
péché,1
"père,",1
pardonne-moi,1
"percocet,",1
"(amen,",1
amen),1
(église),1
"drake,",1
l'église,1
"prêtre,",1
turks,1
semaine,1
"toi-même,",1
nièce,1
prends,1
(prends,1
"dieu,",1
temps),1
l'avantage,1
fréquenter,1
achète,1
perruque,1
"rouge,",1
sépare,1
mer,1
rouge,1
maniaque,1
fout,1
(voisin),1
"monde,",1
stackin',1
dites-le),1
"jeune,",1
connaît,1
classiques,1
"unique,",1
j'arrivе,1
maison,1
jouir,1
"déliciеuse,",1
t'appelle,1
reine,1
clochard,1
baisons,1
"[?],",1
amusons-nous,1
roi,1
"ville,",1
l'élu,1
jure,1
"m'avoir,",1
chaude,1
attirante,1
"miami,",1
restes,1
fourrer,1
jusqu'au,1
demoiselle,1
l'avoir,1
"veux,",1
l'entreprise,1
[outro],1
beaumont,1
connaissez,1
l'extension,1
"correspondant,",1
pouvez,1
composer,1
"moment,",1
appuyez,1
"""9""",1
répertoire,1
"ventes,",1
"l'arme,",1
veuillez,1
appuyer,1
"""1""",1
club,1
avant,1
"ans,",1
voyais,1
sauvage,1
"seule,",1
sait,1
tenir,1
(merci),1
"merci,",1
"demander,",1
rien,1
down,1
"jubilee,",1
swapped,1
made,1
"factory,",1
wait,1
pain,1
major,1
league,1
grab,1
"throttle,",1
driver's,1
seat,1
spent,1
last,1
check,1
car,1
drove,1
asked,1
[break:,1
"grr,",1
texts,1
feelin',1
fencin',1
"match,",1
bust,1
see,1
nothin',1
degree,1
