word,frequency
closed,2
"pic',",2
broke,2
shows,2
gang,2
bros,2
"sing,",2
likin',2
flows,2
"studio,",2
am,2
same,2
"thing,",2
clothes,2
lame,2
twenty,2
"thousand,",2
angles,2
caught,2
"smashin',",2
lamb',2
lecture,2
"glock,",2
angle,2
lays,2
played,2
waves,2
cut,2
braces,2
wrist,2
through,2
"woah,",2
6.6,2
"wa-da-da-dang,",2
potion,2
"uppy,",2
"six,",2
name,2
use,2
white,2
walk,2
"friends,",2
haters,2
deposit?,2
(huh),2
'vert,2
hater,2
em,2
spot,2
knit,2
anywhere,2
"guap,",2
p's,2
"fleas,",2
veeze,2
worst,2
"cheese,",2
ease,2
tell?,2
"2016,",2
countin',2
wa-da-da-da-dang,2
listen,2
9,2
millimeter,2
38,2
feels,2
goin',2
k,2
late,2
safe,2
lit,2
nowadays,2
"trap,",2
"(yeah),",2
ice,2
"know,",2
"internet,",2
someone's,2
went,2
"sayin',",2
"but,",2
chow,2
maple,2
yours,2
brand,2
everything,2
"man,",2
skin,2
addicted,2
cannot,2
(what?),2
toes,2
58,2
soft,2
hole,2
bag,2
"satanist,",2
catchy,2
(get,2
dipped,2
"touched,",2
after,2
"need,",2
drip,2
xans,2
scammin',2
work,2
blood,2
"vert""",2
debate,2
fifty,2
charleston,2
doors,2
"brain,",2
flip,2
(gon',2
flip),2
(shit),2
probably,2
"probation,",2
"yo,",2
gas,2
mental,2
"canadian,",2
mountaintop,2
"arc'teryx,",2
pants,2
million,2
carpenter?,2
pulled,2
automatic,2
block,2
end,2
fast,2
what?),2
"care,",2
"(huh,",2
try,2
cousin,2
or,2
pourin',2
"comme,",2
man,2
"hit,",2
trap,2
whippin',2
crow),2
as,2
tall,2
"the—,",2
"much,",2
"girl,",2
portable,2
flew,2
guess,2
sixteen,2
oral,2
shits,2
philly,2
"um,",2
watch,2
wearin',2
"no,",2
"jesus,",2
worried,2
bank,2
over,2
girls,2
"(brr,",2
(keep,2
ratchet,2
lyrics[verse,2
hope),2
suicide,2
(we,2
ma),2
"okay?""",2
ask,2
text,2
ándale),2
(just,2
ándale,2
day),2
tris),2
world,2
called,2
place,2
mode?,2
crash,2
glass,2
laughin',2
started,2
2,2
ea,2
"(huh?),",2
"(woah),",2
"xan',",2
(how,2
"i'm,",2
3],2
"par,",2
doing?),2
"perc',",2
eatin',2
"po,",2
"molly,",2
sober,2
again,2
"tic-tac-toe,",2
"devil,",2
"(one,",2
cig',2
heart,2
"'shrooms,",2
owen,2
"yes,",2
young,1
aston,1
uzi11embed,1
contributorstranslationsрусскийsuicide,1
wouldn't,1
paved,1
go?,1
"laughin',",1
149,1
different,1
[bridge],1
"mе,",1
they're,1
fivе,1
"fun,",1
ceo,1
(don't,1
"it),",1
"slidin',",1
boy,1
tour,1
ignore,1
"fine,",1
"what,",1
undеrstand,1
dough,1
mad,1
ahh,1
ban,1
"love,",1
sissified,1
buy,1
"stackin',",1
reflection,1
store,1
our,1
chore,1
up),1
met,1
brave,1
wave,1
whole,1
"""that's",1
(shit,1
"are,",1
fingernail,1
tried,1
nigga?,1
none,1
poor,1
tears,1
sister,1
i?,1
thank,1
arca,1
polish,1
"god,",1
droppin',1
"somethin',",1
contributorsgoddard,1
dresses,1
"nails,",1
me4embed,1
michael,1
contributorstranslationsportuguêschill,1
next,1
(ha),1
fluent,1
"english,",1
speak,1
dominican,1
"am,",1
"six-six-six,",1
caked,1
"debbies,",1
paystub,1
"nation,",1
dollars,1
butts,1
fake,1
natural,1
slut,1
"more,",1
threw,1
soul,1
"normal,",1
"reptilian,",1
spanish,1
each,1
yeah2embed,1
"other,",1
contributorsblack,1
neighborhood,1
known,1
uzi-totin',1
himself,1
shot,1
white],1
(goddamn),1
trackhawk,1
fame,1
whores,1
lane,1
"crazy,",1
cocaine,1
insane,1
"mind,",1
"""ahhh""",1
possessed),1
"crow,",1
like[refrain],1
congruent,1
loops,1
"trinidad,",1
"rude""",1
dumbass,1
"philly,",1
chief,1
likе,1
free,1
slime,1
"ysl,",1
"laurent,",1
wan',1
lay,1
lay-up,1
setup,1
"guns,",1
done,1
second,1
run,1
"ass,",1
month,1
"(fuck,",1
(broke),1
tat,1
(know),1
"keef,",1
forward,1
"sosa,",1
doesn't,1
"you""",1
kill,1
"""be",1
"eyes,",1
looked,1
goku,1
spikes,1
room,1
balenciaga,1
nobu,1
amazing,1
took,1
"pop-tarts,",1
global,1
"world,",1
around,1
(kill,1
all),1
drawers,1
glo,1
(ahh),1
hat,1
cappin',1
tеn,1
stay),1
jatavia,1
thirteen,1
"twelve,",1
"eleven,",1
"nine,",1
"eight,",1
"seven,",1
"five,",1
away,1
"four,",1
"one,",1
hating,1
murder,1
"lyricism,",1
"behave""",1
lyrics,1
(uzi,1
behave),1
kissin',1
"lips,",1
"""oh,",1
"taste?""",1
"shirt,",1
burberry,1
(yeah)you,1
m-box,1
lick,1
twirl,1
tongue,1
today,1
offer,1
splittin',1
"raw,",1
(how?),1
gay?,1
eight,1
"all,",1
(always,1
thesе,1
first,1
"haha,",1
shits),1
(if,1
lee],1
kesha,1
contributorstranslationsfrançaisespañolportuguêsdeutschрусскийflooded,1
94,1
like6embed,1
(what's,1
taste?),1
uh-uh,1
without,1
"body,",1
fifth,1
"choose,",1
okay,1
potion3embed,1
contributorstranslationsportuguêsconceited,1
alien,1
"elеgant,",1
nеver,1
something,1
blindfolded,1
men,1
side,1
dogged,1
idol,1
act,1
"nothing,",1
going,1
psycho,1
falling,1
grabbing,1
pinecone,1
element,1
better,1
"freaky,",1
friends,1
swallow,1
"spit,",1
(brr),1
contributorstranslationsportuguêsspace,1
53,1
that2embed,1
bales,1
"shooters,",1
daze,1
"cubans,",1
