id,release_year,artists,track_name
2kgxyflhiicDbF8SDrBxqy,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",BOMB
2uK5bMcng3sT2tv0BOyhCt,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",PAID
488lIy4J0jJdPUiWqa0doB,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",DEAD
3cPz4AkNOXwDf4DlWmKmIE,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",TALKING
2V5dKjrl7niQLzpoaRnCKg,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",SKY CITY
0Cz12ejDQ5L1c1f4sVck4n,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",VULTURES
4vmU2FTMr5YP21zmvmw7CF,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",LIFESTYLE
7oPlYYNWDSEQRDb978Bhhc,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",KEYS TO MY LIFE
1MTpRBLniy6298BCdyKUfQ,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",FOREVER ROLLING
4QrJxzBxuIWWW0NxA6FRNF,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",PAPERWORK
6LHeisjoP8eHrtu45UbTPO,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",HUSBAND
1zO4yPBdlaRSLko5BY33od,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",PROBLEMATIC
5FlpNdFCZfcrtV6HcAg9Rx,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",HOODRAT
6hMzSNx3vrFu3y27lnEDWE,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",BEG FORGIVENESS
15L6Fd2cpsX6h8vrvDu4ez,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",FOREVER
3bTkWuPGJ1ueGXBHWVUwAI,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",MY SOUL
3nmtzobpqStsxsfRNykwFC,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",KING
6bzwoiUt0s1KDOedyy4OtQ,2012,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",High School
06JvOZ39sK8D8SqiqfaxDU,2022,"['5K4W6rqBFWDnAN6FQUkS6x', '15UsOTVnJzReFVN1VCnxy4']",True Love
3vWzyGTu6Ovo1GdrcJqH6e,2018,"['55Aa2cqylxrFIXC767Z865', '7c0XG5cIJTrrAgEC3ULPiq', '15UsOTVnJzReFVN1VCnxy4']",Scared of the Dark (feat. XXXTENTACION)
2Im64pIz6m0EJKdUe6eZ8r,2010,"['5K4W6rqBFWDnAN6FQUkS6x', '4LEiUm1SRbFMgfqnQTwUbQ']",Lost In The World
5ry2OE6R2zPQFDO85XkgRb,2019,"['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']",Money In The Grave (Drake ft. Rick Ross)
1UGD3lW3tDmgZfAVDh6w7r,2010,"['5K4W6rqBFWDnAN6FQUkS6x', '1sBkRIssrMs1AbVkOJbc7a']",Devil In A New Dress
4FRW5Nza1Ym91BGV4nFWXI,2021,"['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']",Lemon Pepper Freestyle (feat. Rick Ross)
50ceCGZ3oD3U5caQV5bP6f,2021,"['3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865', '1sBkRIssrMs1AbVkOJbc7a']",You Only Live Twice (with Lil Wayne & Rick Ross)
1SaxT2eggG2xalUM21tUSw,2019,"['15UsOTVnJzReFVN1VCnxy4', '1sBkRIssrMs1AbVkOJbc7a']",I Changed Her Life (feat. Rick Ross)
5n86k4ft5H7OK4qdSUfYoz,2013,"['3nFkdlSjzX9mRTtwJOzDYB', '1sBkRIssrMs1AbVkOJbc7a']",F*ckwithmeyouknowigotit
1QBwk6GTCxVdC2hoSw9tlM,2011,"['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']",Lord Knows
4S8d14HvHb70ImctNgVzQQ,2018,"['5K4W6rqBFWDnAN6FQUkS6x', '3wyVrVrFCkukjdVIdirGVY']",I Love It (& Lil Pump)
6flur5o18COKeafnjLHRiJ,2019,"['3wyVrVrFCkukjdVIdirGVY', '55Aa2cqylxrFIXC767Z865']",Be Like Me (feat. Lil Wayne)
3iIXhhRB1zP1SIiu45zYV4,2022,"['3wyVrVrFCkukjdVIdirGVY', '7c0XG5cIJTrrAgEC3ULPiq']",She Know
4kamnDMs8sxLZ2uEHHQFF5,2019,"['5K4W6rqBFWDnAN6FQUkS6x', '3wyVrVrFCkukjdVIdirGVY']",I Love It
7vgTNTaEz3CsBZ1N4YQalM,2018,"['5K4W6rqBFWDnAN6FQUkS6x', '2HPaUgqeutzr3jx5a9WyDV']",Ghost Town
6cEguiQecbXrFlsnMi2ysr,2016,"['2HPaUgqeutzr3jx5a9WyDV', '3TVXtAsR1Inumwj472S9r4']",Come and See Me (feat. Drake)
6WHZvtFnceMMv08gUCHR0y,2020,"['2HPaUgqeutzr3jx5a9WyDV', '5pKCCKE2ajJHZ9KAiaK11H']",BELIEVE IT
1nGoy0cEj0extAwXYNYTWd,2018,"['5K4W6rqBFWDnAN6FQUkS6x', '2HPaUgqeutzr3jx5a9WyDV']",Wouldn't Leave
2rFqkDRJlumT7QjljlldlR,2020,"['2HPaUgqeutzr3jx5a9WyDV', '3TVXtAsR1Inumwj472S9r4']",LOYAL (feat. Drake)
1DMYEiuAgz1OKvANXiNFrN,2014,"['2HPaUgqeutzr3jx5a9WyDV', '3TVXtAsR1Inumwj472S9r4']",Recognize (feat. Drake)
24FUBxaAYSBlWsbSnEzDcn,2023,"['3TVXtAsR1Inumwj472S9r4', '2HPaUgqeutzr3jx5a9WyDV']",Members Only (feat. PARTYNEXTDOOR)
1OHoBC4icbuNhpSxP400sv,2015,"['3TVXtAsR1Inumwj472S9r4', '2HPaUgqeutzr3jx5a9WyDV']",Preach
3aJkV6DUTSCqOwVwaBDG9B,2016,"['3TVXtAsR1Inumwj472S9r4', '2HPaUgqeutzr3jx5a9WyDV']",With You
5JUu0unA8VwhTZ9LkMWUVI,2017,"['3TVXtAsR1Inumwj472S9r4', '2HPaUgqeutzr3jx5a9WyDV']",Since Way Back
