id,name,genres,popularity,followers,is_rapper
7mAcgRMD6EfCKHO6cIkDOP,Jimmy Fallon,,57.0,74814.0,0
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,"alternative pop rock, pov: indie",79.0,1952106.0,0
6QEKXJs8gQCiyBq5L8knco,Linda McCartney,classic uk pop,55.0,31225.0,0
0Cd6nHYwecCNM1sVEXKlYr,Krewella,"edm, electra, electro house, pop dance",55.0,911715.0,0
6VZlYTq8lqmm4EFmZwK2fQ,Johnny Rzeznik,,32.0,1426.0,0
3r17AfJCCUqC9Lf0OAc73G,Fergie,"dance pop, pop",70.0,5861112.0,0
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"r&b, soul",85.0,33731438.0,0
3sFhA6G1N0gG1pszb6kk1m,Wings,"album rock, art rock, classic rock, folk rock, mellow gold, rock, singer-songwriter, soft rock",65.0,1135901.0,0
6ovcFUr31ei4FmtLIXtyNa,Orchestre Philharmonique De Strasbourg,"french orchestra, orchestra",41.0,590.0,0
23fqKkggKUBHNkbKtXEls4,Kygo,"edm, pop, pop dance, tropical house",82.0,8508997.0,0
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,"dance pop, neo mellow, pop",68.0,2526553.0,0
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock",73.0,6105311.0,0
6AVLthptCPhfrxlHadOBJD,Jill Scott,"hip pop, neo soul, quiet storm, r&b, urban contemporary",59.0,1801290.0,0
2O3ohFsX5yEGY5FYJqp16q,Tak,,44.0,54.0,0
6gv7K55o2qyiGD9u84TIsW,Muro,"latin metal, spanish metal",27.0,16246.0,0
5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,australian pop,58.0,545813.0,0
5t2P9w0qT2I9y0DrNhykSj,Matthew Santos,,55.0,6837.0,0
0xukYGKRRwBWS1N9sfCQoq,Gizzle,,62.0,11206.0,0
5LkHiburgp40vnKs1PFQYR,Nikki Jean,,39.0,6272.0,0
2HTK8zEKTdM2vQScd3Jg5C,Bishop G,,28.0,102.0,0
7dWYWUbO68rXJOcyA7SpJk,Fort Minor,rap rock,61.0,630159.0,1
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"pop, singer-songwriter pop, uk pop",90.0,117733441.0,0
4jCbgl5Dmt3uOh8WRQfpPs,Bilal,neo soul,65.0,294026.0,0
3Ztgr9y1L9ZfoIOEsCrZEb,Jonah Matranga,,46.0,4727.0,0
3qpAgvQBkPuFhUtRi1qbd0,Punch,,37.0,2253.0,0
62gL3RAdJAPUmjrYudnVjy,Holly Brook,,45.0,17310.0,0
4UFOj9R5p4xrG2HVBsKqOK,ルーペ・フィアスコ,,3.0,58.0,0
5vP3nmsaGrondXXS5BvrSH,Joy Denalane,,53.0,75541.0,0
4k8EGKTPWLYgwsLiEDi9kI,Shakkazombie,japanese old school hip hop,20.0,16126.0,0
0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul,"conscious hip hop, hip hop, rap, underground hip hop",64.0,1108905.0,1
4utLUGcTvOJFr6aqIJtYWV,Skylar Grey,"piano rock, viral pop",70.0,625804.0,0
3EN8pUGJtYWutzf2fUxrDH,Moody Good,"dubstep, electronic trap, filthstep",40.0,41287.0,1
0QiCCpzEYPFaWqkWtDQTmH,Yogi,,37.0,17301.0,0
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,"alt z, nz pop",65.0,819323.0,0
2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,"alternative r&b, conscious hip hop, hip hop, neo soul, new jersey rap, r&b",74.0,3150038.0,1
2rAnv6brcXaglLZBB4XXEn,Nigo,,56.0,89939.0,0
2yQf6b8hxahZaT5dHlWaB1,Raekwon,"east coast hip hop, hardcore hip hop",64.0,624903.0,0
5j4HeCoUlzhfWtjAfM1acR,Stromae,"belgian pop, g-house",82.0,3534174.0,0
0hfAzw4HfebJxXuLgICOnV,Jethro Sheeran,,32.0,2281.0,0
